Q1. 출퇴근 시간대 혼잡도는 다른 시간대와 얼마나 차이가 나는가?
======================================================================

[1] 시간대 그룹별 혼잡도 요약
구분,평균_혼잡도,표준편차,최소값,최대값,중앙값,데이터수
출근시간대 (07:00~09:00),27.04796169548511,25.597949418991092,0.0,166.2,18.1,33312
퇴근시간대 (18:00~20:00),34.7148745196926,22.573417655916717,0.0,190.2,30.9,33312
기타시간대,26.920006180983965,17.573324163854213,0.0,192.8,25.3,252387

[2] 혼잡도 차이 분석
비교항목,혼잡도_차이,차이_비율(%)
출근시간대 - 기타시간대,0.12795551450114573,0.4753175524585588
퇴근시간대 - 기타시간대,7.7948683387086355,28.955670687084968
출근시간대 - 퇴근시간대,-7.66691282420749,-22.085382506159725

[3] 통계적 유의성 검정 (t-test)
비교항목,t-통계량,p-값,유의수준_0.05
출근시간대 vs 기타시간대,1.174601041449773,0.24015534547091166,유의하지 않음
퇴근시간대 vs 기타시간대,73.36164365149601,0.0,유의함
출근시간대 vs 퇴근시간대,-41.00020539603101,0.0,유의함

[4] 호선별 시간대 혼잡도 비교
호선,출근시간_평균,퇴근시간_평균,기타시간_평균,출근vs기타_차이,퇴근vs기타_차이
1,22.56575,32.00549999999999,25.22230499561788,-2.656554995617878,6.783195004382112
2,28.404203125,40.936546875,31.29760175018575,-2.8933986251857498,9.63894512481425
3,24.371470588235294,32.11848039215686,24.948545042125733,-0.5770744538904395,7.169935350031128
4,27.98,36.753173076923076,28.5600517870787,-0.5800517870786983,8.193121289844377
5,26.335223924572777,31.43277843252799,24.90934544888508,1.4258784756876963,6.523432983642909
6,20.991376228775692,30.365281501340483,22.308852343267333,-1.3174761144916403,8.05642915807315
7,33.923809523809524,37.20732142857143,29.70755412613743,4.216255397672093,7.499767302434002
8,27.95552536231884,33.28917572463768,25.670787589498808,2.2847377728200335,7.618388135138872

[5] 시간대별 상세 혼잡도
시간대,평균_혼잡도,표준편차,최소값,최대값,중앙값
5시30분,15.979162099622457,14.570818469430328,0.0,121.2,11.6
6시00분,15.873679154658982,11.476967659375077,0.0,78.3,13.1
6시30분,15.129899135446685,12.667593798454435,0.0,83.9,11.2
7시00분,19.677593659942364,19.399697166382403,0.0,126.6,12.6
7시30분,25.517831412103746,25.65951158246335,0.0,147.0,15.5
8시00분,32.402833813640726,29.736302194497448,0.0,166.2,21.5
8시30분,30.593587896253606,24.58468759467926,0.0,151.9,23.0
9시00분,30.301969260326608,21.848156260719353,0.0,154.8,24.5
9시30분,28.935230547550432,17.413912475579384,0.0,117.7,25.7
10시00분,27.287403938520654,14.937028818058524,0.0,86.9,25.5
10시30분,27.580463496637847,14.741826619279028,0.0,108.1,26.1
11시00분,27.955271373679153,14.536443886420757,0.0,98.0,26.9
11시30분,28.32481988472622,14.466637740307396,0.0,92.1,27.6
12시00분,29.33476224783862,14.571952584644524,0.0,100.5,28.6
12시30분,31.238328530259366,15.292668655505432,0.0,99.1,30.8
13시00분,31.442831412103747,14.800353340142628,0.0,100.1,31.6
13시30분,31.07602065321806,14.711476373468432,0.0,96.1,30.8
14시00분,30.293287704130645,13.957728884119266,0.0,89.5,30.5
14시30분,30.804274735830933,14.198935155693569,0.0,93.8,30.8
15시00분,32.0518972142171,14.609235922227338,0.0,120.1,32.3
15시30분,33.9037944284342,15.601231195222399,0.0,131.8,34.0
16시00분,36.021709894332375,16.578222554123634,0.0,108.7,36.2
16시30분,38.841318443804035,18.343549391818335,0.0,98.2,38.5
17시00분,39.80210134486071,20.565755532331988,0.0,120.4,38.2
17시30분,40.2703530259366,23.08573514763187,0.0,141.6,37.5
18시00분,41.56300432276657,25.89823144876641,0.0,157.0,36.5
18시30분,38.77588856868395,25.2693963526811,0.0,190.2,34.0
19시00분,31.406748318924112,18.758348690116033,0.0,126.7,28.8
19시30분,27.113856868395775,15.65954447368314,0.0,102.0,25.3
20시00분,25.70301392891451,14.883828084846826,0.0,83.4,23.9
20시30분,26.109390009606148,15.69716473218741,0.0,81.8,23.7
21시00분,26.526657060518733,15.973566575002703,0.0,93.2,24.6
21시30분,25.426945244956773,16.175399578297817,0.0,109.4,23.3
22시00분,26.351621037463975,17.23554755990315,0.0,119.2,23.7
22시30분,23.44329971181556,15.640514091693731,0.0,192.8,20.6
23시00분,20.077557636887608,13.936305706011044,0.0,99.7,17.3
23시30분,14.569173294769824,10.895172739502533,0.0,87.7,12.1
00시00분,4.248701208501181,6.094150003222843,0.0,41.2,0.9
00시30분,3.880381899032174,4.391001235235027,0.0,23.9,2.6
